CAAB ID	Scientific Name	Full authority	Common Name	Family	Genus	Specific epithet
37003001	Geotria australis	Gray, 1851	Pouch Lamprey	Petromyzontidae	Geotria	australis
37003002	Mordacia mordax	(Richardson, 1846)	Shorthead Lamprey	Petromyzontidae	Mordacia	mordax
37004001	Eptatretus longipinnis	Strahan, 1975	Longfin Hagfish	Myxinidae	Eptatretus	longipinnis
37004002	Eptatretus cirrhatus	(Forster, 1801)	Broadgilled Hagfish	Myxinidae	Eptatretus	cirrhatus
37004004	Eptatretus strahani	McMillan & Wisner, 1984	[a hagfish]	Myxinidae	Eptatretus	strahani
37004005	Eptatretus alastairi	Mincarone & Fernholm, 2010	[a hagfish]	Myxinidae	Eptatretus	alastairi
37004006	Eptatretus gomoni	Mincarone & Fernholm, 2010	Gomon's Hagfish	Myxinidae	Eptatretus	gomoni
37005001	Heptranchias perlo	(Bonnaterre, 1788)	Sharpnose Sevengill Shark	Hexanchidae	Heptranchias	perlo
37005002	Notorynchus cepedianus	(Péron, 1807)	Broadnose Shark	Hexanchidae	Notorynchus	cepedianus
37005004	Hexanchus nakamurai	Teng, 1962	Bigeye Sixgill Shark	Hexanchidae	Hexanchus	nakamurai
37005005	Hexanchus griseus	(Bonnaterre, 1788)	Bluntnose Sixgill Shark	Hexanchidae	Hexanchus	griseus
37006001	Chlamydoselachus anguineus	Garman, 1884	Frill Shark	Chlamydoselachidae	Chlamydoselachus	anguineus
37007001	Heterodontus portusjacksoni	(Meyer, 1793)	Port Jackson Shark	Heterodontidae	Heterodontus	portusjacksoni
37007002	Heterodontus zebra	(Gray, 1831)	Zebra Hornshark	Heterodontidae	Heterodontus	zebra
37007003	Heterodontus galeatus	(Günther, 1870)	Crested Hornshark	Heterodontidae	Heterodontus	galeatus
37008001	Carcharias taurus	Rafinesque, 1810	Greynurse Shark	Odontaspididae	Carcharias	taurus
37008003	Odontaspis ferox	(Risso, 1810)	Sandtiger Shark	Odontaspididae	Odontaspis	ferox
37009001	Megachasma pelagios	Taylor, Compagno & Struhsaker, 1983	Megamouth Shark	Megachasmidae	Megachasma	pelagios
37009002	Mitsukurina owstoni	Jordan, 1898	Goblin Shark	Mitsukurinidae	Mitsukurina	owstoni
37009003	Pseudocarcharias kamoharai	(Matsubara, 1936)	Crocodile Shark	Pseudocarchariidae	Pseudocarcharias	kamoharai
37010001	Isurus oxyrinchus	Rafinesque, 1810	Shortfin Mako	Lamnidae	Isurus	oxyrinchus
37010002	Isurus paucus	Guitart Manday, 1966	Longfin Mako	Lamnidae	Isurus	paucus
37010003	Carcharodon carcharias	(Linnaeus, 1758)	White Shark	Lamnidae	Carcharodon	carcharias
37010004	Lamna nasus	(Bonnaterre, 1788)	Porbeagle	Lamnidae	Lamna	nasus
37011001	Cetorhinus maximus	(Gunnerus, 1765)	Basking Shark	Cetorhinidae	Cetorhinus	maximus
37012001	Alopias vulpinus	(Bonnaterre, 1788)	Thresher Shark	Alopiidae	Alopias	vulpinus
37012002	Alopias superciliosus	(Lowe, 1841)	Bigeye Thresher	Alopiidae	Alopias	superciliosus
37012003	Alopias pelagicus	Nakamura, 1935	Pelagic Thresher	Alopiidae	Alopias	pelagicus
37013001	Orectolobus ornatus	(De Vis, 1883)	Banded Wobbegong	Orectolobidae	Orectolobus	ornatus
37013002	Parascyllium collare	Ramsay & Ogilby, 1888	Collar Carpetshark	Parascylliidae	Parascyllium	collare
37013003	Orectolobus maculatus	(Bonnaterre, 1788)	Spotted Wobbegong	Orectolobidae	Orectolobus	maculatus
37013004	Parascyllium variolatum	(Duméril, 1853)	Varied Carpetshark	Parascylliidae	Parascyllium	variolatum
37013005	Parascyllium ferrugineum	McCulloch, 1911	Rusty Carpetshark	Parascylliidae	Parascyllium	ferrugineum
37013006	Stegostoma fasciatum	(Hermann, 1783)	Zebra Shark	Stegostomatidae	Stegostoma	fasciatum
37013007	Brachaelurus waddi	(Bloch & Schneider, 1801)	Blind Shark	Brachaeluridae	Brachaelurus	waddi
37013008	Chiloscyllium punctatum	Müller & Henle, 1838	Grey Carpetshark	Hemiscylliidae	Chiloscyllium	punctatum
37013010	Nebrius ferrugineus	(Lesson, 1830)	Tawny Shark	Ginglymostomatidae	Nebrius	ferrugineus
37013011	Eucrossorhinus dasypogon	(Bleeker, 1867)	Tasselled Wobbegong	Orectolobidae	Eucrossorhinus	dasypogon
37013012	Sutorectus tentaculatus	(Peters, 1864)	Cobbler Wobbegong	Orectolobidae	Sutorectus	tentaculatus
37013013	Brachaelurus colcloughi	Ogilby, 1908	Colclough's Shark	Brachaeluridae	Brachaelurus	colcloughi
37013014	Hemiscyllium ocellatum	(Bonnaterre, 1788)	Epaulette Shark	Hemiscylliidae	Hemiscyllium	ocellatum
37013015	Hemiscyllium trispeculare	Richardson, 1843	Speckled Carpetshark	Hemiscylliidae	Hemiscyllium	trispeculare
37013016	Orectolobus hutchinsi	Last, Chidlow & Compagno, 2006	Western Wobbegong	Orectolobidae	Orectolobus	hutchinsi
37013017	Orectolobus wardi	Whitley, 1939	Northern Wobbegong	Orectolobidae	Orectolobus	wardi
37013018	Parascyllium sparsimaculatum	Goto & Last, 2002	Ginger Carpetshark	Parascylliidae	Parascyllium	sparsimaculatum
37013019	Parascyllium elongatum	Last & Stevens, 2008	Western Dwarf Catshark	Parascylliidae	Parascyllium	elongatum
37013020	Orectolobus halei	Whitley, 1940	Gulf Wobbegong	Orectolobidae	Orectolobus	halei
37013021	Orectolobus floridus	Last & Chidlow, 2008	Floral Banded Wobbegong	Orectolobidae	Orectolobus	floridus
37013022	Orectolobus parvimaculatus	Last & Chidlow, 2008	Dwarf Spotted Wobbegong	Orectolobidae	Orectolobus	parvimaculatus
37013023	Orectolobus reticulatus	Last, Pogonoski & White, 2008	Network Wobbegong	Orectolobidae	Orectolobus	reticulatus
37014001	Rhincodon typus	Smith, 1828	Whale Shark	Rhincodontidae	Rhincodon	typus
37015001	Cephaloscyllium laticeps	(Duméril, 1853)	Draughtboard Shark	Scyliorhinidae	Cephaloscyllium	laticeps
37015003	Asymbolus vincenti	(Zietz, 1908)	Gulf Catshark	Scyliorhinidae	Asymbolus	vincenti
37015004	Halaelurus sellus	White, Last & Stevens, 2007	Speckled Catshark	Scyliorhinidae	Halaelurus	sellus
37015005	Atelomycterus fasciatus	Compagno & Stevens, 1993	Banded Catshark	Scyliorhinidae	Atelomycterus	fasciatus
37015007	Cephaloscyllium hiscosellum	White & Ebert, 2008	Reticulate Swellshark	Scyliorhinidae	Cephaloscyllium	hiscosellum
37015008	Galeus gracilis	Compagno & Stevens, 1993	Slender Sawtail Catshark	Scyliorhinidae	Galeus	gracilis
37015009	Figaro boardmani	(Whitley, 1928)	Sawtail Catshark	Scyliorhinidae	Figaro	boardmani
37015010	Asymbolus submaculatus	Compagno, Stevens & Last, 1999	Variegated Catshark	Scyliorhinidae	Asymbolus	submaculatus
37015013	Cephaloscyllium albipinnum	Last, Motomura & White, 2008	Whitefin Swellhark	Scyliorhinidae	Cephaloscyllium	albipinnum
37015014	Apristurus sinensis	Chu & Hu, 1981	Freckled Catshark	Scyliorhinidae	Apristurus	sinensis
37015015	Apristurus platyrhynchus	(Tanaka, 1909)	Bigfin Catshark	Scyliorhinidae	Apristurus	platyrhynchus
37015016	Apristurus melanoasper	Iglésias, Nakaya & Stehmann, 2004	Fleshynose Catshark	Scyliorhinidae	Apristurus	melanoasper
37015017	Apristurus ampliceps	Sasahara, Sato & Nakaya, 2008	Roughskin Catshark	Scyliorhinidae	Apristurus	ampliceps
37015018	Apristurus pinguis	Deng, Xiong & Zhan, 1983	Bulldog Catshark	Scyliorhinidae	Apristurus	pinguis
37015019	Apristurus bucephalus	White, Last & Pogonoski, 2008	Bighead Catshark	Scyliorhinidae	Apristurus	bucephalus
37015020	Apristurus australis	Sato, Nakaya & Yorozu, 2008	Pinocchio Catshark	Scyliorhinidae	Apristurus	australis
37015021	Apristurus longicephalus	Nakaya, 1975	Smoothbelly Catshark	Scyliorhinidae	Apristurus	longicephalus
37015022	Asymbolus parvus	Compagno, Stevens & Last, 1999	Dwarf Catshark	Scyliorhinidae	Asymbolus	parvus
37015023	Asymbolus funebris	Compagno, Stevens & Last, 1999	Blotched Catshark	Scyliorhinidae	Asymbolus	funebris
37015024	Asymbolus rubiginosus	Last, Gomon & Gledhill, 1999	Orange Spotted Catshark	Scyliorhinidae	Asymbolus	rubiginosus
37015025	Asymbolus pallidus	Last, Gomon & Gledhill, 1999	Pale Spotted Catshark	Scyliorhinidae	Asymbolus	pallidus
37015026	Asymbolus occiduus	Last, Gomon & Gledhill, 1999	Western Spotted Catshark	Scyliorhinidae	Asymbolus	occiduus
37015027	Asymbolus analis	(Ogilby, 1885)	Grey Spotted Catshark	Scyliorhinidae	Asymbolus	analis
37015028	Atelomycterus macleayi	Whitley, 1939	Marbled Catshark	Scyliorhinidae	Atelomycterus	macleayi
37015029	Aulohalaelurus labiosus	(Waite, 1905)	Blackspotted Catshark	Scyliorhinidae	Aulohalaelurus	labiosus
37015031	Cephaloscyllium variegatum	Last & White, 2008	Northern Draughtboard Shark	Scyliorhinidae	Cephaloscyllium	variegatum
37015032	Cephaloscyllium zebrum	Last & White, 2008	Narrowbar Swellshark	Scyliorhinidae	Cephaloscyllium	zebrum
37015033	Cephaloscyllium speccum	Last, Séret & White, 2008	Speckled Swellshark	Scyliorhinidae	Cephaloscyllium	speccum
37015034	Figaro striatus	Gledhill, Last & White, 2008	Northern Sawtail Shark	Scyliorhinidae	Figaro	striatus
37015035	Bythaelurus incanus	Last & Stevens, 2008	Dusky Catshark	Scyliorhinidae	Bythaelurus	incanus
37015036	Parmaturus bigus	Séret & Last, 2007	Short-tail Catshark	Scyliorhinidae	Parmaturus	bigus
37015037	Atelomycterus marnkalha	Jacobsen & Bennett, 2007	Eastern Banded Catshark	Scyliorhinidae	Atelomycterus	marnkalha
37015038	Cephaloscyllium cooki	Last, Séret & White, 2008	Cook's Swellshark	Scyliorhinidae	Cephaloscyllium	cooki
37015039	Cephaloscyllium signourum	Last, Séret & White, 2008	Flagtail Swellshark	Scyliorhinidae	Cephaloscyllium	signourum
37016001	Pseudotriakis microdon	Capello, 1868	False Catshark	Pseudotriakidae	Pseudotriakis	microdon
37016002	Gollum attenuatus	(Garrick, 1954)	Slender Smooth-hound	Pseudotriakidae	Gollum	attenuatus
37017001	Mustelus antarcticus	Günther, 1870	Gummy Shark	Triakidae	Mustelus	antarcticus
37017003	Furgaleus macki	(Whitley, 1943)	Whiskery Shark	Triakidae	Furgaleus	macki
37017005	Mustelus ravidus	White & Last, 2006	grey gummy shark	Triakidae	Mustelus	ravidus
37017006	Hypogaleus hyugaensis	(Miyosi, 1939)	Pencil Shark	Triakidae	Hypogaleus	hyugaensis
37017007	Iago garricki	Fourmanoir & Rivaton, 1979	Longnose Houndshark	Triakidae	Iago	garricki
37017008	Galeorhinus galeus	(Linnaeus, 1758)	School Shark	Triakidae	Galeorhinus	galeus
37017009	Hemitriakis falcata	Compagno & Stevens, 1993	Sicklefin Houndshark	Triakidae	Hemitriakis	falcata
37017010	Hemitriakis abdita	Compagno & Stevens, 1993	Darksnout Houndshark	Triakidae	Hemitriakis	abdita
37017011	Mustelus walkeri	White & Last, 2008	Eastern Spotted Gummy Shark	Triakidae	Mustelus	walkeri
37017012	Mustelus stevensi	White & Last, 2008	Western Spotted Gummy Shark	Triakidae	Mustelus	stevensi
37018001	Carcharhinus brachyurus	(Günther, 1870)	Bronze Whaler	Carcharhinidae	Carcharhinus	brachyurus
37018003	Carcharhinus obscurus	(Lesueur, 1818)	Dusky Whaler	Carcharhinidae	Carcharhinus	obscurus
37018004	Prionace glauca	(Linnaeus, 1758)	Blue Shark	Carcharhinidae	Prionace	glauca
37018005	Loxodon macrorhinus	Müller & Henle, 1839	Sliteye Shark	Carcharhinidae	Loxodon	macrorhinus
37018006	Rhizoprionodon acutus	(Rüppell, 1837)	Milk Shark	Carcharhinidae	Rhizoprionodon	acutus
37018007	Carcharhinus plumbeus	(Nardo, 1827)	Sandbar Shark	Carcharhinidae	Carcharhinus	plumbeus
37018008	Carcharhinus falciformis	(Müller & Henle, 1839)	Silky Shark	Carcharhinidae	Carcharhinus	falciformis
37018009	Carcharhinus coatesi	(Whitley, 1939)	Whitecheek Shark	Carcharhinidae	Carcharhinus	coatesi
37018011	Hemipristis elongata	(Klunzinger, 1871)	Fossil Shark	Hemigaleidae	Hemipristis	elongata
37018012	Carcharhinus altimus	(Springer, 1950)	Bignose Shark	Carcharhinidae	Carcharhinus	altimus
37018013	Carcharhinus sorrah	(Müller & Henle, 1839)	Spot-tail Shark	Carcharhinidae	Carcharhinus	sorrah
37018014	Carcharhinus tilstoni	(Whitley, 1950)	Australian Blacktip Shark	Carcharhinidae	Carcharhinus	tilstoni
37018020	Hemigaleus australiensis	White, Last & Compagno, 2005	Weasel Shark	Hemigaleidae	Hemigaleus	australiensis
37018021	Carcharhinus leucas	(Müller & Henle, 1839)	Bull Shark	Carcharhinidae	Carcharhinus	leucas
37018022	Galeocerdo cuvier	(Péron & Lesueur, 1822)	Tiger Shark	Carcharhinidae	Galeocerdo	cuvier
37018023	Carcharhinus brevipinna	(Müller & Henle, 1839)	Spinner Shark	Carcharhinidae	Carcharhinus	brevipinna
37018024	Rhizoprionodon taylori	(Ogilby, 1915)	Australian Sharpnose Shark	Carcharhinidae	Rhizoprionodon	taylori
37018025	Carcharhinus macloti	(Müller & Henle, 1839)	Hardnose Shark	Carcharhinidae	Carcharhinus	macloti
37018026	Carcharhinus amboinensis	(Müller & Henle, 1839)	Pigeye Shark	Carcharhinidae	Carcharhinus	amboinensis
37018027	Carcharhinus albimarginatus	(Rüppell, 1837)	Silvertip Shark	Carcharhinidae	Carcharhinus	albimarginatus
37018029	Negaprion acutidens	(Rüppell, 1837)	Lemon Shark	Carcharhinidae	Negaprion	acutidens
37018030	Carcharhinus amblyrhynchos	(Bleeker, 1856)	Grey Reef Shark	Carcharhinidae	Carcharhinus	amblyrhynchos
37018032	Carcharhinus longimanus	(Poey, 1861)	Oceanic Whitetip Shark	Carcharhinidae	Carcharhinus	longimanus
37018033	Carcharhinus amblyrhynchoides	(Whitley, 1934)	Graceful Shark	Carcharhinidae	Carcharhinus	amblyrhynchoides
37018034	Carcharhinus cautus	(Whitley, 1945)	Nervous Shark	Carcharhinidae	Carcharhinus	cautus
37018035	Carcharhinus fitzroyensis	(Whitley, 1943)	Creek Whaler	Carcharhinidae	Carcharhinus	fitzroyensis
37018036	Carcharhinus melanopterus	(Quoy & Gaimard, 1824)	Blacktip Reef Shark	Carcharhinidae	Carcharhinus	melanopterus
37018037	Rhizoprionodon oligolinx	Springer, 1964	Grey Sharpnose Shark	Carcharhinidae	Rhizoprionodon	oligolinx
37018038	Triaenodon obesus	(Rüppell, 1837)	Whitetip Reef Shark	Carcharhinidae	Triaenodon	obesus
37018039	Carcharhinus limbatus	(Müller & Henle, 1839)	Common Blacktip Shark	Carcharhinidae	Carcharhinus	limbatus
37018040	Carcharhinus galapagensis	(Snodgrass & Heller, 1905)	Galapagos Shark	Carcharhinidae	Carcharhinus	galapagensis
37018041	Glyphis glyphis	(Müller & Henle, 1839)	Speartooth Shark	Carcharhinidae	Glyphis	glyphis
37018042	Glyphis garricki	Compagno, White & Last, 2008	Northern River Shark	Carcharhinidae	Glyphis	garricki
37019001	Sphyrna lewini	(Griffith & Smith, 1834)	Scalloped Hammerhead	Sphyrnidae	Sphyrna	lewini
37019002	Sphyrna mokarran	(Rüppell, 1837)	Great Hammerhead	Sphyrnidae	Sphyrna	mokarran
37019003	Eusphyra blochii	(Cuvier, 1816)	Winghead Shark	Sphyrnidae	Eusphyra	blochii
37019004	Sphyrna zygaena	(Linnaeus, 1758)	Smooth Hammerhead	Sphyrnidae	Sphyrna	zygaena
37020001	Centrophorus moluccensis	Bleeker, 1860	Endeavour Dogfish	Centrophoridae	Centrophorus	moluccensis
37020002	Dalatias licha	(Bonnaterre, 1788)	Black Shark	Dalatiidae	Dalatias	licha
37020003	Deania calceus	(Lowe, 1839)	Brier Shark	Centrophoridae	Deania	calceus
37020004	Deania quadrispinosa	(McCulloch, 1915)	Longsnout Dogfish	Centrophoridae	Deania	quadrispinosa
37020005	Etmopterus lucifer	Jordan & Snyder, 1902	Blackbelly Lanternshark	Etmopteridae	Etmopterus	lucifer
37020006	Squalus megalops	(Macleay, 1881)	Spikey Dogfish	Squalidae	Squalus	megalops
37020008	Squalus acanthias	Linnaeus, 1758	Whitespotted Dogfish	Squalidae	Squalus	acanthias
37020009	Centrophorus squamosus	(Bonnaterre, 1788)	Leafscale Gulper Shark	Centrophoridae	Centrophorus	squamosus
37020010	Centrophorus harrissoni	McCulloch, 1915	Harrisson's Dogfish	Centrophoridae	Centrophorus	harrissoni
37020011	Centrophorus zeehaani	White, Ebert & Compagno, 2008	Southern Dogfish	Centrophoridae	Centrophorus	zeehaani
37020012	Centroselachus crepidater	(Bocage & Capello, 1864)	Golden Dogfish	Somniosidae	Centroselachus	crepidater
37020013	Proscymnodon plunketi	(Waite, 1910)	Plunket's Dogfish	Somniosidae	Proscymnodon	plunketi
37020014	Isistius brasiliensis	(Quoy & Gaimard, 1824)	Smalltooth Cookiecutter Shark	Dalatiidae	Isistius	brasiliensis
37020015	Etmopterus pusillus	(Lowe, 1839)	Slender Lanternshark	Etmopteridae	Etmopterus	pusillus
37020017	Squaliolus aliae	Teng, 1959	Smalleye Pygmy Shark	Dalatiidae	Squaliolus	aliae
37020018	Squalus altipinnis	Last, White & Stevens, 2007	Western Highfin Spurdog	Squalidae	Squalus	altipinnis
37020019	Centroscymnus owstonii	Garman, 1906	Owston's Dogfish	Somniosidae	Centroscymnus	owstonii
37020021	Etmopterus baxteri	Garrick, 1957	Southern Lanternshark	Etmopteridae	Etmopterus	baxteri
37020022	Etmopterus unicolor	(Engelhardt, 1912)	Bristled Lanternshark	Etmopteridae	Etmopterus	unicolor
37020024	Centroscyllium kamoharai	Abe, 1966	Bareskin Dogfish	Etmopteridae	Centroscyllium	kamoharai
37020025	Centroscymnus coelolepis	Bocage & Capello, 1864	Portuguese Dogfish	Somniosidae	Centroscymnus	coelolepis
37020027	Etmopterus bigelowi	Shirai & Tachikawa, 1993	Smooth Lanternshark	Etmopteridae	Etmopterus	bigelowi
37020028	Etmopterus fusus	Last, Burgess & Séret, 2002	Pygmy Lanternshark	Etmopteridae	Etmopterus	fusus
37020029	Etmopterus dianthus	Last, Burgess & Séret, 2002	Pink Lanternshark	Etmopteridae	Etmopterus	dianthus
37020030	Etmopterus evansi	Last, Burgess & Séret, 2002	Blackmouth Lanternshark	Etmopteridae	Etmopterus	evansi
37020031	Etmopterus dislineatus	Last, Burgess & Séret, 2002	Lined Lanternshark	Etmopteridae	Etmopterus	dislineatus
37020032	Etmopterus brachyurus	Smith & Radcliffe, 1912	Short-tail Lanternshark	Etmopteridae	Etmopterus	brachyurus
37020033	Etmopterus molleri	(Whitley, 1939)	Moller's Lanternshark	Etmopteridae	Etmopterus	molleri
37020034	Euprotomicrus bispinatus	(Quoy & Gaimard, 1824)	Pygmy Shark	Dalatiidae	Euprotomicrus	bispinatus
37020035	Scymnodalatias albicauda	Taniuchi & Garrick, 1986	Whitetail Dogfish	Somniosidae	Scymnodalatias	albicauda
37020036	Somniosus antarcticus	Whitley, 1939	Southern Sleeper Shark	Somniosidae	Somniosus	antarcticus
37020037	Squalus notocaudatus	Last, White & Stevens, 2007	Bartail Spurdog	Squalidae	Squalus	notocaudatus
37020038	Squalus albifrons	Last, White & Stevens, 2007	Eastern Highfin Spurdog	Squalidae	Squalus	albifrons
37020039	Squalus crassispinus	Last, Edmunds & Yearsley, 2007	Fatspine Spurdog	Squalidae	Squalus	crassispinus
37020040	Squalus nasutus	Last, Marshall & White, 2007	Western Longnose Spurdog	Squalidae	Squalus	nasutus
37020041	Squalus grahami	White, Last & Stevens, 2007	Eastern Longnose Spurdog	Squalidae	Squalus	grahami
37020042	Zameus squamulosus	(Günther, 1877)	Velvet Dogfish	Somniosidae	Zameus	squamulosus
37020043	Isistius plutodus	Garrick & Springer, 1964	Largetooth Cookiecutter Shark	Dalatiidae	Isistius	plutodus
37020046	Squalus edmundsi	White, Last & Stevens, 2007	Edmunds' Spurdog	Squalidae	Squalus	edmundsi
37020047	Squalus montalbani	Whitley, 1931	Philippine Spurdog	Squalidae	Squalus	montalbani
37020048	Squalus chloroculus	Last, White & Motomura, 2007	Greeneye Spurdog	Squalidae	Squalus	chloroculus
37020049	Cirrhigaleus australis	White, Last & Stevens, 2007	Mandarin Shark	Squalidae	Cirrhigaleus	australis
37020050	Centrophorus westraliensis	White, Ebert & Compagno, 2008	Western Gulper Shark	Centrophoridae	Centrophorus	westraliensis
37020051	Centrophorus acus	Garman, 1906	Gulper Shark	Centrophoridae	Centrophorus	acus
37020052	Scymnodalatias sherwoodi	(Archey, 1921)	Sherwood's Dogfish	Somniosidae	Scymnodalatias	sherwoodi
37020053	Centrophorus niaukang	Teng, 1959	Taiwan Gulper Shark	Centrophoridae	Centrophorus	niaukang
37021001	Oxynotus bruniensis	(Ogilby, 1893)	Prickly Dogfish	Oxynotidae	Oxynotus	bruniensis
37022001	Echinorhinus brucus	(Bonnaterre, 1788)	Bramble Shark	Echinorhinidae	Echinorhinus	brucus
37022002	Echinorhinus cookei	Pietschmann, 1928	Prickly Shark	Echinorhinidae	Echinorhinus	cookei
37023001	Pristiophorus nudipinnis	Günther, 1870	Southern Sawshark	Pristiophoridae	Pristiophorus	nudipinnis
37023002	Pristiophorus cirratus	(Latham, 1794)	Common Sawshark	Pristiophoridae	Pristiophorus	cirratus
37023004	Pristiophorus delicatus	Yearsley, Last & White, 2008	Tropical Sawshark	Pristiophoridae	Pristiophorus	delicatus
37024001	Squatina australis	Regan, 1906	Australian Angelshark	Squatinidae	Squatina	australis
37024002	Squatina tergocellata	McCulloch, 1914	Ornate Angelshark	Squatinidae	Squatina	tergocellata
37024004	Squatina albipunctata	Last & White, 2008	Eastern Angelshark	Squatinidae	Squatina	albipunctata
37024005	Squatina pseudocellata	Last & White, 2008	Western Angelshark	Squatinidae	Squatina	pseudocellata
37025001	Pristis zijsron	Bleeker, 1851	Green Sawfish	Pristidae	Pristis	zijsron
37025002	Anoxypristis cuspidata	(Latham, 1794)	Narrow Sawfish	Pristidae	Anoxypristis	cuspidata
37025003	Pristis microdon	Latham, 1794	Freshwater Sawfish	Pristidae	Pristis	microdon
37025004	Pristis clavata	Garman, 1906	Dwarf Sawfish	Pristidae	Pristis	clavata
37026002	Rhina ancylostoma	Bloch & Schneider, 1801	Shark Ray	Rhinidae	Rhina	ancylostoma
37026003	Rhynchobatus laevis	(Bloch & Schneider, 1801)	Smoothnose Wedgefish	Rhynchobatidae	Rhynchobatus	laevis
37026004	Rhynchobatus palpebratus	Compagno & Last, 2008	Eyebrow Wedgefish	Rhynchobatidae	Rhynchobatus	palpebratus
37026005	Rhynchobatus australiae	Whitley, 1939	Whitespotted Guitarfish	Rhynchobatidae	Rhynchobatus	australiae
37027001	Aptychotrema vincentiana	(Haacke, 1885)	Western Shovelnose Ray	Rhinobatidae	Aptychotrema	vincentiana
37027003	Rhinobatos sainsburyi	Last, 2004	Goldeneye Shovelnose Ray	Rhinobatidae	Rhinobatos	sainsburyi
37027006	Trygonorrhina fasciata	Müller & Henle, 1841	Eastern Fiddler Ray	Rhinobatidae	Trygonorrhina	fasciata
37027007	Aptychotrema timorensis	Last, 2004	Spotted Shovelnose Ray	Rhinobatidae	Aptychotrema	timorensis
37027008	Trygonorrhina melaleuca	Scott, 1954	Magpie Fiddler Ray	Rhinobatidae	Trygonorrhina	melaleuca
37027009	Aptychotrema rostrata	(Shaw & Nodder, 1794)	Eastern Shovelnose Ray	Rhinobatidae	Aptychotrema	rostrata
37027010	Glaucostegus typus	(Bennett, 1830)	Giant Shovelnose Ray	Rhinobatidae	Glaucostegus	typus
37027011	Trygonorrhina dumerilii	Castelnau, 1873	Southern Fiddler Ray	Rhinobatidae	Trygonorrhina	dumerilii
37028001	Hypnos monopterygius	(Shaw & Nodder, 1795)	Coffin Ray	Hypnidae	Hypnos	monopterygius
37028002	Narcine tasmaniensis	Richardson, 1841	Tasmanian Numbfish	Narcinidae	Narcine	tasmaniensis
37028003	Torpedo macneilli	(Whitley, 1932)	Short-tail Torpedo Ray	Torpedinidae	Torpedo	macneilli
37028004	Narcine lasti	Carvalho & Séret, 2002	Western Numbfish	Narcinidae	Narcine	lasti
37028005	Narcine westraliensis	McKay, 1966	Banded Numbfish	Narcinidae	Narcine	westraliensis
37028006	Torpedo tokionis	(Tanaka, 1908)	Longtail Torpedo Ray	Torpedinidae	Torpedo	tokionis
37028007	Narcine ornata	Carvalho, 2008	Ornate Numbfish	Narcinidae	Narcine	ornata
37028008	Narcine nelsoni	Carvalho, 2008	Eastern Numbfish	Narcinidae	Narcine	nelsoni
37031001	Irolita waitii	(McCulloch, 1911)	Southern Round Skate	Arhynchobatidae	Irolita	waitii
37031002	Dipturus australis	(Macleay, 1884)	Sydney Skate	Rajidae	Dipturus	australis
37031003	Dipturus cerva	(Whitley, 1939)	Whitespotted Skate	Rajidae	Dipturus	cerva
37031005	Dipturus confusus	Last, 2008	Longnose Skate	Rajidae	Dipturus	confusus
37031006	Spiniraja whitleyi	(Iredale, 1938)	Melbourne Skate	Rajidae	Spiniraja	whitleyi
37031007	Dentiraja lemprieri	(Richardson, 1845)	Thornback Skate	Rajidae	Dentiraja	lemprieri
37031009	Pavoraja nitida	(Günther, 1880)	Peacock Skate	Arhynchobatidae	Pavoraja	nitida
37031010	Dipturus gudgeri	(Whitley, 1940)	Bight Skate	Rajidae	Dipturus	gudgeri
37031011	Dipturus healdi	Last, White & Pogonoski, 2008	Leyland's Skate	Rajidae	Dipturus	healdi
37031013	Okamejei leptoura	Last & Gledhill, 2008	Thintail Skate	Rajidae	Okamejei	leptoura
37031015	Notoraja hirticauda	Last & McEachran, 2006	Ghost Skate	Arhynchobatidae	Notoraja	hirticauda
37031016	Bathyraja ishiharai	Stehmann, 2005	Abyssal Skate	Arhynchobatidae	Bathyraja	ishiharai
37031017	Irolita westraliensis	Last & Gledhill, 2008	Western Round Skate	Arhynchobatidae	Irolita	westraliensis
37031018	Notoraja azurea	McEachran & Last, 2008	Blue Skate	Arhynchobatidae	Notoraja	azurea
37031019	Notoraja ochroderma	McEachran & Last, 1994	Pale Skate	Arhynchobatidae	Notoraja	ochroderma
37031020	Notoraja sticta	McEachran & Last, 2008	Blotched Skate	Arhynchobatidae	Notoraja	sticta
37031021	Insentiraja laxipella	(Yearsley & Last, 1992)	Eastern Looseskin Skate	Arhynchobatidae	Insentiraja	laxipella
37031022	Insentiraja subtilispinosa	(Stehmann, 1989)	Western Looseskin Skate	Arhynchobatidae	Insentiraja	subtilispinosa
37031023	Pavoraja arenaria	Last, Mallick & Yearsley, 2008	Sandy Skate	Arhynchobatidae	Pavoraja	arenaria
37031024	Pavoraja mosaica	Last, Mallick & Yearsley, 2008	Mosaic Skate	Arhynchobatidae	Pavoraja	mosaica
37031025	Pavoraja pseudonitida	Last, Mallick & Yearsley, 2008	False Peacock Skate	Arhynchobatidae	Pavoraja	pseudonitida
37031026	Pavoraja umbrosa	Last, Mallick & Yearsley, 2008	Dusky Skate	Arhynchobatidae	Pavoraja	umbrosa
37031027	Pavoraja alleni	McEachran & Fechhelm, 1982	Allen's Skate	Arhynchobatidae	Pavoraja	alleni
37031028	Dipturus canutus	Last, 2008	Grey Skate	Rajidae	Dipturus	canutus
37031029	Dipturus grahami	Last, 2008	Graham's Skate	Rajidae	Dipturus	grahami
37031030	Dipturus falloargus	Last, 2008	false Argus Skate	Rajidae	Dipturus	falloargus
