CAAB ID	Scientific Name	Full authority	Common Name	Family	Genus	Specific epithet
37205007	Batrachomoeus dahli	(Rendahl, 1922)	Dahl's Frogfish	Batrachoididae	Batrachomoeus	dahli
37205008	Batrachomoeus dubius	(White, 1790)	Eastern Frogfish	Batrachoididae	Batrachomoeus	dubius
37205009	Batrachomoeus rubricephalus	Hutchins, 1976	Pinkhead Frogfish	Batrachoididae	Batrachomoeus	rubricephalus
37206001	Aspasmogaster tasmaniensis	(Günther, 1861)	Tasmanian Clingfish	Gobiesocidae	Aspasmogaster	tasmaniensis
37206002	Cochleoceps bassensis	Hutchins, 1983	Broadhead Clingfish	Gobiesocidae	Cochleoceps	bassensis
37206003	Creocele cardinalis	(Ramsay, 1882)	Broad Clingfish	Gobiesocidae	Creocele	cardinalis
37206004	Aspasmogaster costata	(Ogilby, 1885)	Pink Clingfish	Gobiesocidae	Aspasmogaster	costata
37206005	Aspasmogaster liorhyncha	Briggs, 1955	Smoothsnout Clingfish	Gobiesocidae	Aspasmogaster	liorhyncha
37206006	Aspasmogaster occidentalis	Hutchins, 1984	Western Clingfish	Gobiesocidae	Aspasmogaster	occidentalis
37206007	Alabes brevis	Springer & Fraser, 1976	Short Shore Eel	Gobiesocidae	Alabes	brevis
37206008	Alabes dorsalis	(Richardson, 1845)	Common Shore Eel	Gobiesocidae	Alabes	dorsalis
37206009	Alabes hoesei	Springer & Fraser, 1976	Dwarf Shore Eel	Gobiesocidae	Alabes	hoesei
37206010	Alabes parvula	(McCulloch, 1909)	Pygmy Shore Eel	Gobiesocidae	Alabes	parvula
37206011	Cochleoceps bicolor	Hutchins, 1991	Western Cleaner Clingfish	Gobiesocidae	Cochleoceps	bicolor
37206012	Cochleoceps orientalis	Hutchins, 1991	Eastern Cleaner Clingfish	Gobiesocidae	Cochleoceps	orientalis
37206013	Cochleoceps spatula	(Günther, 1861)	Spadenose Clingfish	Gobiesocidae	Cochleoceps	spatula
37206014	Cochleoceps viridis	Hutchins, 1991	Green Clingfish	Gobiesocidae	Cochleoceps	viridis
37206015	Diademichthys lineatus	(Sauvage, 1883)	Striped Clingfish	Gobiesocidae	Diademichthys	lineatus
37206016	Discotrema crinophila	Briggs, 1976	Crinoid Clingfish	Gobiesocidae	Discotrema	crinophila
37206017	Kopua kuiteri	Hutchins, 1991	Deepwater Clingfish	Gobiesocidae	Kopua	kuiteri
37206018	Lepadichthys sandaracatus	Whitley, 1943	Shark Bay Clingfish	Gobiesocidae	Lepadichthys	sandaracatus
37206019	Posidonichthys hutchinsi	Briggs, 1993	Posidonia Clingfish	Gobiesocidae	Posidonichthys	hutchinsi
37206020	Lepadichthys caritus	Briggs, 1969	Precious Clingfish	Gobiesocidae	Lepadichthys	caritus
37206021	Lepadichthys frenatus	Waite, 1904	Bridled Clingfish	Gobiesocidae	Lepadichthys	frenatus
37206022	Parvicrepis parvipinnis	(Waite, 1906)	Smallfin Clingfish	Gobiesocidae	Parvicrepis	parvipinnis
37206031	Alabes elongata	Hutchins & Morrison, 2004	Elongate Shore Eel	Gobiesocidae	Alabes	elongata
37206032	Alabes gibbosa	Hutchins & Morrison, 2004	Hunchback Shore Eel	Gobiesocidae	Alabes	gibbosa
37206033	Alabes obtusirostris	Hutchins & Morrison, 2004	Pugnose Shore Eel	Gobiesocidae	Alabes	obtusirostris
37206034	Alabes occidentalis	Hutchins & Morrison, 2004	Western Shore Eel	Gobiesocidae	Alabes	occidentalis
37206035	Alabes scotti	Hutchins & Morrison, 2004	Scott's Shore Eel	Gobiesocidae	Alabes	scotti
37206036	Alabes bathys	Hutchins, 2006	[a clingfish]	Gobiesocidae	Alabes	bathys
37206038	Discotrema monogrammum	Craig & Randall, 2008	[a clingfish]	Gobiesocidae	Discotrema	monogrammum
37208001	Lophiomus setigerus	(Vahl, 1797)	Broadhead Goosefish	Lophiidae	Lophiomus	setigerus
37208002	Lophiodes infrabrunneus	Smith & Radcliffe, 1912	Shortspine Goosefish	Lophiidae	Lophiodes	infrabrunneus
37208003	Lophiodes mutilus	(Alcock, 1894)	Smooth Goosefish	Lophiidae	Lophiodes	mutilus
37208004	Lophiodes naresi	(Günther, 1880)	Goosefish	Lophiidae	Lophiodes	naresi
37208007	Lophiodes endoi	Ho & Shao, 2008	[a goosefish]	Lophiidae	Lophiodes	endoi
37208008	Lophiodes gracilimanus	(Alcock, 1899)	[a goosefish]	Lophiidae	Lophiodes	gracilimanus
37209001	Thymichthys verrucosus	(McCulloch & Waite, 1918)	Warty Handfish	Brachionichthyidae	Thymichthys	verrucosus
37209002	Brachionichthys hirsutus	(Lacépède, 1804)	Spotted Handfish	Brachionichthyidae	Brachionichthys	hirsutus
37209003	Sympterichthys unipennis	(Cuvier, 1817)	Smooth Handfish	Brachionichthyidae	Sympterichthys	unipennis
37209004	Thymichthys politus	(Richardson, 1844)	Red Handfish	Brachionichthyidae	Thymichthys	politus
37209005	Brachionichthys australis	Last, Gledhill & Holmes, 2007	Australian handfish	Brachionichthyidae	Brachionichthys	australis
37209006	Brachiopsilus ziebelli	Last & Gledhill, 2009	actaeon handfish	Brachionichthyidae	Brachiopsilus	ziebelli
37209009	Brachiopsilus dianthus	Last & Gledhill, 2009	[a handfish]	Brachionichthyidae	Brachiopsilus	dianthus
37209010	Brachiopsilus dossenus	Last & Gledhill, 2009	[a handfish]	Brachionichthyidae	Brachiopsilus	dossenus
37209011	Pezichthys amplispinus	Last & Gledhill, 2009	[a handfish]	Brachionichthyidae	Pezichthys	amplispinus
37209012	Pezichthys compressus	Last & Gledhill, 2009	[a handfish]	Brachionichthyidae	Pezichthys	compressus
37209013	Pezichthys eltanini	Last & Gledhill, 2009	[a handfish]	Brachionichthyidae	Pezichthys	eltanini
37209014	Pezichthys macropinnis	Last & Gledhill, 2009	[a handfish]	Brachionichthyidae	Pezichthys	macropinnis
37209015	Pezichthys nigrocilium	Last & Gledhill, 2009	[a handfish]	Brachionichthyidae	Pezichthys	nigrocilium
